# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
p0,cw,mopso,spread,5,20000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,cw,mopso,spread,5,5000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,cw,nsga2,spread,5,20000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,cw,nsga2,spread,5,5000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,cw,random_search,spread,5,20000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,cw,random_search,spread,5,5000,1,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.0 0.0004077466971714072 7.557153138826876e-08 7.557153138826876e-08,0.0,0.0,0.0,0.0
p0,ls,mopso,spread,5,20000,200,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.1 2.2 0.0 1.1,2.449489742783178,2.449489742783178,2.449489742783178,0.0
p0,ls,mopso,spread,5,5000,200,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.1 2.2 0.0 1.1,2.449489742783178,2.449489742783178,2.449489742783178,0.0
p0,ls,nsga2,spread,5,20000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.1 2.2 0.0 1.1,2.4493767865235547,2.449343613278079,2.4494092463041786,6.563302609974286e-05
p0,ls,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,0.1 2.2 0.0 1.1,2.4489190835611097,2.448913613942354,2.4489841221335444,7.050819119047702e-05
